base_roberta_neg,base_roberta_neu,base_roberta_pos
0.82129967212677,0.16351637244224548,0.015183920040726662
0.004052434116601944,0.03145841136574745,0.9644891619682312
0.03476421907544136,0.19879311323165894,0.7664427161216736
0.04657270759344101,0.28932392597198486,0.6641033291816711
0.6951391696929932,0.2712579071521759,0.03360290452837944
0.1895647644996643,0.5483412742614746,0.26209405064582825
0.43549495935440063,0.45255130529403687,0.11195370554924011
0.40410956740379333,0.511899471282959,0.0839909091591835
0.0787595584988594,0.7835286855697632,0.13771168887615204
0.8714172840118408,0.115506112575531,0.013076595030725002
0.5178802013397217,0.4098189175128937,0.07230094075202942
0.5458154678344727,0.3912982642650604,0.06288626044988632
0.8633604049682617,0.12383721768856049,0.012802372686564922
0.21061807870864868,0.5907262563705444,0.19865567982196808
0.7542343735694885,0.1987542062997818,0.04701142758131027
0.00490818964317441,0.16054244339466095,0.8345493674278259
0.9255455732345581,0.06643176823854446,0.008022726513445377
0.004962066654115915,0.0639113038778305,0.931126594543457
0.057904355227947235,0.2526267468929291,0.6894688606262207
0.8815439343452454,0.10561028122901917,0.012845827266573906
0.6966244578361511,0.2797165811061859,0.023658929392695427
0.25969716906547546,0.5509496331214905,0.18935321271419525
0.006885182578116655,0.053662002086639404,0.9394528269767761
0.3473295569419861,0.5132206082344055,0.13944989442825317
0.8707118034362793,0.11967280507087708,0.009615407325327396
0.0031532905995845795,0.027721522375941277,0.9691251516342163
0.02592153288424015,0.2770901620388031,0.6969882845878601
0.010258565656840801,0.062522754073143,0.9272187352180481
0.6079067587852478,0.36131882667541504,0.03077436238527298
0.008907274343073368,0.17135299742221832,0.8197396993637085
0.0033492783550173044,0.051727499812841415,0.9449232220649719
0.09636715054512024,0.5586667656898499,0.3449660539627075
0.08687187731266022,0.5299504995346069,0.38317760825157166
0.6079580187797546,0.3714557886123657,0.020586203783750534
0.19469305872917175,0.4950146973133087,0.31029224395751953
0.12761245667934418,0.43094751238822937,0.44144001603126526
0.5239819288253784,0.4181770980358124,0.057840995490550995
0.8901056051254272,0.10056493431329727,0.009329534135758877
0.7820377945899963,0.19330081343650818,0.0246613509953022
0.3197917640209198,0.48245078325271606,0.19775742292404175
0.05215751379728317,0.26350298523902893,0.6843394637107849
