enhanced_roberta_neg,enhanced_roberta_neu,enhanced_roberta_pos
0.8156332969665527,0.16666187345981598,0.017704933881759644
0.0037165845278650522,0.030507948249578476,0.9657754898071289
0.010408220812678337,0.11199913918972015,0.8775926232337952
0.01806323044002056,0.17604778707027435,0.8058889508247375
0.7331626415252686,0.23694945871829987,0.029887953773140907
0.14575177431106567,0.5329587459564209,0.3212894797325134
0.4653342664241791,0.43270936608314514,0.10195636004209518
0.4295685887336731,0.4947892725467682,0.07564211636781693
0.08408237993717194,0.7793439626693726,0.1365736871957779
0.8839855194091797,0.10468712449073792,0.011327370069921017
0.522380530834198,0.39986470341682434,0.07775479555130005
0.5469090938568115,0.3839128017425537,0.06917811185121536
0.8581997156143188,0.12808167934417725,0.013718628324568272
0.18833094835281372,0.5962533354759216,0.21541574597358704
0.57960444688797,0.3202168047428131,0.1001787781715393
0.0050597647204995155,0.1623307317495346,0.8326094746589661
0.9169394969940186,0.07442044466733932,0.008640117943286896
0.006168759427964687,0.08306140452623367,0.9107698202133179
0.2216075360774994,0.41485315561294556,0.36353936791419983
0.8729316592216492,0.11278273165225983,0.014285574667155743
0.7257271409034729,0.2542310655117035,0.020041756331920624
0.26923757791519165,0.5461186766624451,0.1846437156200409
0.009427644312381744,0.0692020058631897,0.9213703274726868
0.33987393975257874,0.5123951435089111,0.1477309763431549
0.8828578591346741,0.10864319652318954,0.008498923853039742
0.0037109500262886286,0.033014073967933655,0.9632750153541565
0.033641304820775986,0.3067364990711212,0.6596221923828125
0.008718105964362621,0.05785739794373512,0.9334245324134827
0.4363482594490051,0.49538418650627136,0.06826755404472351
0.007870911620557308,0.15775616466999054,0.834372878074646
0.003381156362593174,0.05184878781437874,0.944770097732544
0.11050733923912048,0.5677025318145752,0.32179006934165955
0.09143700450658798,0.5298284292221069,0.3787345588207245
0.6175642013549805,0.36132603883743286,0.02110978402197361
0.2105519026517868,0.49135860800743103,0.29808950424194336
0.11754395812749863,0.42612552642822266,0.4563305079936981
0.510975182056427,0.42561712861061096,0.06340766698122025
0.8716338872909546,0.11586543172597885,0.012500769458711147
0.6778117418289185,0.2786403000354767,0.04354802146553993
0.3272719085216522,0.4743492305278778,0.198378786444664
0.06007145717740059,0.27968135476112366,0.6602471470832825
0.01281627919524908,0.20226703584194183,0.7849166989326477
0.5280171036720276,0.4280114471912384,0.0439714714884758
0.7570686936378479,0.22505557537078857,0.017875758931040764
0.9460632801055908,0.048396334052085876,0.005540437996387482
0.8967844843864441,0.09404837340116501,0.009167077019810677
0.1289149820804596,0.45344436168670654,0.41764065623283386
0.5121347308158875,0.41858619451522827,0.06927910447120667
0.021137136965990067,0.22696636617183685,0.7518964409828186
0.03738999739289284,0.2768772542476654,0.6857327818870544
0.0077741206623613834,0.16673533618450165,0.8254904747009277
0.37100255489349365,0.49764135479927063,0.13135607540607452
0.06019173189997673,0.4429570734500885,0.49685126543045044
0.3178563117980957,0.49977460503578186,0.18236908316612244
